Date,prediction,weight_x,weight_y,share_ratio_x_per_y,sigma_daily,correlation,volatility_ratio,last_label_index,training_samples,z,var_x,var_y,covariance
2015-06-05,,0.4,0.6,0.859314442623287,0.0049978571738664565,0.537109456701229,,-1,0,,0.00016699836476049342,7.566534064434429e-05,6.037642638182186e-05
2015-06-08,,0.4,0.6,0.8449181488465536,0.005222589043679546,0.4958196552518563,,-1,0,,0.00016270764784992857,7.785862255477948e-05,5.580602386780741e-05
2015-06-09,,0.4,0.6,0.8568326704949141,0.0053098498639344155,0.47582932226287944,,-1,0,,0.0001573780117078787,7.920629642127738e-05,5.31255062654086e-05
2015-06-10,,0.4,0.6,0.8475193803093264,0.0052409054133728955,0.5161084168673499,,-1,0,,0.00017176715853575752,8.125212346131032e-05,6.0971708874732496e-05
2015-06-11,,0.4,0.6,0.8399638270598209,0.005211686254056174,0.5081661222587956,,-1,0,,0.00016812926313102352,7.862814244140632e-05,5.84273745190666e-05
2015-06-12,,0.4,0.6,0.8385820677887903,0.005152949943307543,0.5186725360604343,,-1,0,,0.0001648830422127187,7.980747050200903e-05,5.949808961776051e-05
2015-06-15,,0.4,0.6,0.8353012285507738,0.005072112600241816,0.5195883225165037,,-1,0,,0.00016063593418797167,7.723373662803277e-05,5.7874100888823895e-05
2015-06-16,,0.4,0.6,0.8301773507426621,0.005003163621612628,0.5199072579089802,,-1,0,,0.00015751334125820184,7.47412485555767e-05,5.641112053477483e-05
2015-06-17,,0.4,0.6,0.8316089402686122,0.0049265598493436705,0.5212351784055879,,-1,0,,0.00015252513192261905,7.292833888622316e-05,5.497339824477971e-05
2015-06-18,,0.4,0.6,0.8310174848844827,0.004843558757295551,0.5234043382137374,,-1,0,,0.00014800564769413798,7.085037974362995e-05,5.3597872715405065e-05
2015-06-19,,0.4,0.6,0.8197552708363892,0.004971380078609944,0.49919270913850805,,-1,0,,0.00014315903444847593,7.31265456579538e-05,5.107579596379106e-05
2015-06-22,,0.40084513333162436,0.5991548666683757,0.8271544649080602,0.0049391726786939035,0.4974689582238846,,-1,0,,0.00013852992160819246,7.279602596652948e-05,4.995645541109746e-05
2015-06-23,,0.4012754553610597,0.5987245446389403,0.8259091791154766,0.004856028524287,0.5092893449939089,,-1,0,,0.00013731856070266547,7.196177129614431e-05,5.0626759951625086e-05
2015-06-24,,0.40118923455586747,0.5988107654441326,0.8271978657691343,0.004774660121833476,0.5108620455713526,,-1,0,,0.0001333608069953493,6.972521638486131e-05,4.926207269993656e-05
2015-06-25,,0.40032145289546706,0.5996785471045329,0.8432337695916701,0.00472408599947341,0.5062181770619167,,-1,0,,0.00012977683165808456,6.746578856590656e-05,4.7367244327035575e-05
