id,model,window,process_variance,entry,exit,stop,holding,reverting_only,cost_buffer,train_return,train_final_equity,train_drawdown,train_sharpe,train_entries,train_commission,train_slippage,train_borrow,train_dividends_net,train_max_gross,train_max_abs_net
273,kalman,120,0.001,2.0,0.1,4.0,10,True,1.5,0.0006584736283206105,100065.84736283206,-0.0010698645525681894,0.22013001902511245,3,25.608851306667326,23.95960810089111,9.964117793357534,0.0,20267.2699508667,254.35013389587402
274,kalman,120,0.001,2.0,0.1,4.0,30,False,1.5,0.005502735368425382,100550.27353684253,-0.005470864717961099,0.3883993741232747,40,359.8810419065092,322.12110960159305,112.99273764430004,-118.64400000000002,20752.329397201538,479.57944107055664
275,kalman,120,0.001,2.0,0.1,4.0,30,True,1.5,0.0006584736283206105,100065.84736283206,-0.0010698645525681894,0.22013001902511245,3,25.608851306667326,23.95960810089111,9.964117793357534,0.0,20267.2699508667,254.35013389587402
276,kalman,120,0.001,2.0,0.5,4.0,10,False,1.5,0.0016368169637976937,100163.68169637978,-0.008139032388659984,0.12796657541546264,42,377.7056869006727,337.72339944457997,97.70803923546775,-118.64400000000002,20644.139400482178,485.3594398498535
277,kalman,120,0.001,2.0,0.5,4.0,10,True,1.5,-0.000789784703410068,99921.02152965899,-0.0010698645525681894,-0.34072616381489695,3,25.605165487995144,23.94026792984009,5.792587399260639,0.0,20267.2699508667,242.28997230529785
278,kalman,120,0.001,2.0,0.5,4.0,30,False,1.5,0.0016368169637976937,100163.68169637978,-0.008139032388659984,0.12796657541546264,42,377.7056869006727,337.72339944457997,97.70803923546775,-118.64400000000002,20644.139400482178,485.3594398498535
279,kalman,120,0.001,2.0,0.5,4.0,30,True,1.5,-0.000789784703410068,99921.02152965899,-0.0010698645525681894,-0.34072616381489695,3,25.605165487995144,23.94026792984009,5.792587399260639,0.0,20267.2699508667,242.28997230529785
280,kalman,120,0.001,2.5,0.1,4.0,10,False,1.5,0.00126264967343781,100126.26496734377,-0.005237998680795775,0.13377857665644194,13,117.79431810241698,104.51216007347105,45.16834825782254,0.0,20502.710372924805,473.79944229125977
281,kalman,120,0.001,2.5,0.1,4.0,10,True,1.5,-0.000705787851306372,99929.42121486936,-0.0010977965428524694,-0.3552408403974542,2,17.229547905101775,16.000272038269046,5.849113960475138,0.0,20267.2699508667,254.35013389587402
282,kalman,120,0.001,2.5,0.1,4.0,30,False,1.5,0.00126264967343781,100126.26496734377,-0.005237998680795775,0.13377857665644194,13,117.79431810241698,104.51216007347105,45.16834825782254,0.0,20502.710372924805,473.79944229125977
